countryCode,id,name,subtitle
es-ES,b7bbb1d2-23d0-4dd3-ad14-1c6adfec1035,"Seguimiento de Pareja: Teamo","Ubicación,Cuenta,Recuerdos"
pt-BR,28edc984-8117-4775-93dc-6bd0f80c33db,"Rastreador de Casal: Teamo","Localização,Contagem,Memórias"
en-CA,7fcdd86d-0ee9-421e-a16b-0a231b56b33f,"Couple Tracker & LDR: Team","Location,Countdown,Memory Maps"
fr-FR,8a829d70-1b43-4585-a50f-9e0c735f78ab,"Suivi Couple & Distance: Teamo","Localisation,Compte,Souvenir"
nl-NL,23fca509-a6b4-4bfb-b40e-2a34ca8d9993,"Koppel Tracker & Liefde: Teamo","Locatie,Aftellen,Herinneringen"
fr-CA,a1c51abe-138d-4918-9658-4ae1e5f59e6a,"Suivi Couple & Distance: Teamo","Localisation,Compte,Souvenirs"
el,11df4f3c-2abc-49a4-9f84-31c26fa0a999,"Ιχνηλάτης Ζευγαριών: Teamo","Τοποθεσία,Αντίστροφη,Ανάμνηση"
en-US,ecfd0d8f-a729-45ca-ac8e-487a757d27d9,"Couple Tracker & LDR: Teamo","Location,Countdown,Memory Map"
hu,c044b2fe-422e-44ef-bcea-716e674557a4,"Párkövető & Szerelem: Teamo","Helyzet,Visszaszámlálás,Emlék"
zh-Hant,0d209662-ec22-4adc-a2b1-500098c42a03,"情侶追蹤 & 遠距離: Teamo","位置分享,倒數計時,回憶地圖,愛情,日曆"
zh-Hans,cc47bd95-74e4-46ba-97ba-0ff3d8626263,"情侣追踪 & 异地恋: Teamo","位置共享,倒计时,回忆地图,爱情,日历"
hi,7dabc2ea-1950-411c-b22d-e0b01f28423d,"जोड़ों का ट्रैकर: Teamo","स्थान,उलटीगिनती,यादें,प्यार"
es-MX,dcca4d9e-abce-458c-a9ad-bc5e235471cc,"Seguimiento de Pareja: Teamo","Ubicación,Cuenta,Recuerdos"
hr,c754da3f-0299-4606-bc15-42dbe3c34615,"Praćenje Parova: Teamo","Lokacija,Odbrojavanje,Sjećanja"
en-GB,1394f5e1-11c7-464d-87f2-b71745db15ec,"Couple Tracker & LDR: Teamo","Location,Countdown,Memory Map"
th,4828a79e-4e86-4100-b188-a3814ead910e,"ติดตามคู่รัก & ความรัก: Teamo","ตำแหน่ง,นับถอยหลัง,ความทรงจำ"
cs,acc855d3-907e-4cda-a15f-9be425328ccf,"Sledování Párů & Láska: Teamo","Poloha,Odpočet,Vzpomínky,Láska"
vi,c5e9511c-72d2-4ec1-a13f-3aa94a6f0f13,"Theo Dõi Cặp Đôi & Yêu: Teamo","Vịtrí,Đếmngược,Kỷniệm,Tìnhyêu"
ar-SA,05e4fe4f-93e2-4a70-89b1-f1c13c5e682e,"متتبع الأزواج والحب: Teamo","موقع,عدتنازلي,ذكريات,حب,تقويم"
it,d58891ab-a2d5-4fba-a6a5-0e9597ad7d1b,"Tracker Coppia & Amore: Teamo","Posizione,Conto,Ricordi,Mappa"
ro,8743aa64-1185-4ff9-9c27-21610404950e,"Urmărire Cuplu & Iubire: Teamo","Locație,Numărătoare,Amintiri"
ja,3984d6fc-ed63-4c6c-9204-58894160e0c8,"カップル追跡 & 遠距離恋愛: Teamo","位置情報,カウントダウン,思い出,共有"
id,dfb94eab-29a8-4370-808b-1fbd3a235d2a,"Pelacak Pasangan: Teamo","Lokasi,HitungMundur,Kenangan"
no,c9b38850-593e-4055-94ab-e92631c9a8b8,"Parsporing & Kjærlighet: Teamo","Posisjon,Nedtelling,Minner"
sv,917e9ca8-7f1f-4147-8e28-612e8953832d,"Parspårare & Kärlek: Teamo","Plats,Nedräkning,Minnen,Kärlek"
da,b7052ade-bf02-4543-a03e-95f7c1006e9e,"Parsporing & Kærlighed: Teamo","Placering,Nedtælling,Minder"
ca,45662846-9417-4fcf-a2ec-ef2e7ffb3519,"Seguiment de Parella: Teamo","Ubicació,Compte,Records,Amor"
ms,e66d1ab0-0ef7-4bf9-915d-b0433d64c5d6,"Penjejak Pasangan: Teamo","Lokasi,KiraDetik,Kenangan"
he,11e13389-0dbf-473e-ae60-a00ca7ba8059,"מעקב זוגות ואהבה: Teamo","מיקום,ספירה,זיכרונות,אהבה,לוח"
uk,729a7d93-6b16-447c-851d-fe5aff1f96b5,"Трекер Пар & Кохання: Teamo","Локація,Відлік,Спогади,Кохання"
de-DE,a500ca93-cc4a-4593-85e2-45b781a2b4f0,"Paar-Tracker & Liebe: Teamo","Standort,Countdown,Erinnerung"
fi,95cfd6f1-0857-4c60-96ef-11580bd47ddd,"Pariseuranta & Rakkaus: Teamo","Sijainti,Lähtölaskenta,Muistot"
pt-PT,0fe72f7b-7061-4b24-a101-ceb1df9a1467,"Rastreador de Casal: Teamo","Localização,Contagem,Memórias"
sk,cc35d265-727b-4c5e-9dcf-3322d491e1b8,"Sledovanie Párov: Teamo","Poloha,Odpočet,Spomienky,Láska"
ru,42d0b890-d1de-464f-8a55-219b30ebbd39,"Трекер для Пар & Любовь: Teamo","Локация,Отсчёт,Воспоминания"
ko,edbd7352-8d2d-42b9-9ec1-a49186428d08,"커플 추적 & 장거리 연애: Teamo","위치공유,카운트다운,추억지도,사랑"
en-AU,b5c1c5e8-4872-463d-bc92-3ebbc64658ea,"Couple Tracker & LDR: Teamo","Location,Countdown,Memory Map"
tr,ba14aed5-18eb-442c-8d29-3d09f6cdd3c9,"Çift & İlişki Takibi: Teamo","Konum,Gerisayım,Anı Haritası"
pl,2411ec4d-4afa-4627-91f2-512b0d5afd8c,"Śledzenie Par & Miłość: Teamo","Lokalizacja,Odliczanie,Pamięć"
