locale,id,whatsNew
ar-SA,c3e63ec5-de74-42c9-bfbf-aa868a7dab08,"تحسينات في الأداء وإصلاح الأخطاء."
ca,bff51173-3a38-4514-9765-e22bc3f66265,"Millores de rendiment i correccions d'errors."
cs,0097d95e-9e3d-456a-9120-c5405862c647,"Vylepšení výkonu a opravy chyb."
da,70687eff-ec1f-44ce-bda2-39962fdbd2db,"Ydeevneforbedringer og fejlrettelser."
de-DE,b027c930-33f1-4ac0-a7c1-c28b109f5a53,"Leistungsverbesserungen und Fehlerbehebungen."
el,5e00caf6-d435-499b-87bd-c233707623ca,"Βελτιώσεις απόδοσης και διορθώσεις σφαλμάτων."
en-AU,88d9adb1-c2c3-43a3-be92-e13a3fa256d3,"Performance improvements and bug fixes."
en-CA,5c677d8b-37ae-4d7e-94f3-d2af17d87cc9,"Performance improvements and bug fixes."
en-GB,4d104d20-161d-4eb5-a52d-b6365ed60096,"Performance improvements and bug fixes."
en-US,5bbffc86-0418-4d39-9857-f5d747d590d6,"Performance improvements and bug fixes."
es-ES,b34126b1-e38e-4fa5-be2a-7a21f3858206,"Mejoras de rendimiento y corrección de errores."
es-MX,d73b21b8-b2fc-436d-9031-86f5b8d7aab7,"Mejoras de rendimiento y corrección de errores."
fi,8fbd0e29-b0f7-4334-bab9-dbc9727ba5ad,"Suorituskyvyn parannuksia ja virhekorjauksia."
fr-CA,b3f61d98-76af-4cf8-adc9-2ec8d63a7b75,"Améliorations des performances et corrections de bogues."
fr-FR,d70ce0bf-49e2-4a40-ac4b-35ba0d5fb734,"Améliorations des performances et corrections de bugs."
he,1ed086d1-3a79-44b7-bc71-d24a86c2c621,"שיפורי ביצועים ותיקוני באגים."
hi,c1ce0346-2015-4670-8a3a-ce828c379f7b,"प्रदर्शन सुधार और बग फिक्स।"
hr,d78d23bd-2cd6-4958-ab7c-2dd76d9cc727,"Poboljšanja performansi i ispravci grešaka."
hu,a0094d56-baf8-4d15-a1ac-79af34741cf5,"Teljesítményjavítások és hibajavítások."
id,76c93091-fece-4914-81c5-38c898a90da1,"Peningkatan performa dan perbaikan bug."
it,a2915bcd-94bb-4d73-90e6-cfd6de376b2c,"Miglioramenti delle prestazioni e correzioni di bug."
ja,b3727767-d177-4a7d-929e-36509ccc2dbe,"パフォーマンスの改善とバグ修正。"
ko,4fcd61dd-71cd-4a53-a1ab-2a5c7eddba30,"성능 개선 및 버그 수정."
ms,0c2e5d8b-873a-4254-92c4-7feef40d17bd,"Peningkatan prestasi dan pembaikan pepijat."
nl-NL,691783b6-e43f-4a00-b1ed-1a9527fe61c1,"Prestatieverbeteringen en bugfixes."
no,9a43d5c2-58ba-4fe3-82a9-68fa024aed95,"Ytelsesforbedringer og feilrettinger."
pl,d91ed21d-9050-4e1c-a526-40038a7d500b,"Ulepszenia wydajności i poprawki błędów."
pt-BR,719beaaa-eda0-424a-b1cd-652360549e91,"Melhorias de desempenho e correções de bugs."
pt-PT,18e2a12d-daff-49b4-b90d-25282cbb6d6f,"Melhorias de desempenho e correções de erros."
ro,a6765984-8976-4225-b5d8-36fbe03e79fc,"Îmbunătățiri de performanță și remedieri de erori."
ru,f5166998-38d3-4128-9e8c-938ce017aa8f,"Улучшения производительности и исправления ошибок."
sk,d0a8ba14-6bed-4e77-866e-a99641c3747a,"Vylepšenia výkonu a opravy chýb."
sv,3c987970-a2c4-4253-8073-dbaf41e95706,"Prestandaförbättringar och buggfixar."
th,bb38e617-6c90-409f-8324-02c7b9c61103,"การปรับปรุงประสิทธิภาพและการแก้ไขข้อบกพร่อง"
tr,1ed0c973-ea62-4108-801b-8ed83d1b93bd,"Performans iyileştirmeleri ve hata düzeltmeleri."
uk,e8f154a5-7d67-4e30-bd7c-8186db3f7293,"Покращення продуктивності та виправлення помилок."
vi,800dc24b-536a-454a-821d-1cca06a10e12,"Cải thiện hiệu suất và sửa lỗi."
zh-Hans,255d7b77-2084-45da-bd49-878d4a8af53d,"性能改进和错误修复。"
zh-Hant,816fcb62-b9b3-4bf6-a514-1c1e1130e5d1,"效能改進和錯誤修復。"
